,max_depth,min_child_weight,learning_rate,n_estimators,scaler,accuracy,precision,recall,f1_score,f1_macro,true_positives,false_positives,true_negatives,false_negatives,runtime,id
0,2,1,0.001,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.28891921043395996,0
1,2,1,0.001,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2109363079071045,1
2,2,1,0.001,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.31697916984558105,2
3,2,1,0.001,50,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.30265259742736816,3
4,2,1,0.001,50,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.289628267288208,4
5,2,1,0.001,50,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.29762744903564453,5
6,2,1,0.001,75,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.38040828704833984,6
7,2,1,0.001,75,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3478066921234131,7
8,2,1,0.001,75,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.4097859859466553,8
9,2,1,0.001,100,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.47257280349731445,9
10,2,1,0.001,100,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3786633014678955,10
11,2,1,0.001,100,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.4337480068206787,11
12,2,1,0.01,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.18801641464233398,12
13,2,1,0.01,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.18522357940673828,13
14,2,1,0.01,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2106335163116455,14
15,2,1,0.01,50,StandardScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.24001336097717285,15
16,2,1,0.01,50,MinMaxScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.2414553165435791,16
17,2,1,0.01,50,RobustScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.288043737411499,17
18,2,1,0.01,75,StandardScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.3140437602996826,18
19,2,1,0.01,75,MinMaxScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.3084850311279297,19
20,2,1,0.01,75,RobustScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.36335110664367676,20
21,2,1,0.01,100,StandardScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.3999662399291992,21
22,2,1,0.01,100,MinMaxScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.39944982528686523,22
23,2,1,0.01,100,RobustScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.43030858039855957,23
24,2,1,0.1,25,StandardScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.1815180778503418,24
25,2,1,0.1,25,MinMaxScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.1648111343383789,25
26,2,1,0.1,25,RobustScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.21706771850585938,26
27,2,1,0.1,50,StandardScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.24196600914001465,27
28,2,1,0.1,50,MinMaxScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.25907182693481445,28
29,2,1,0.1,50,RobustScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.2921764850616455,29
30,2,1,0.1,75,StandardScaler,0.647415329768271,0.45327754532775455,0.3524945770065076,0.39658328248932273,0.5737638145007681,325,392,1491,597,0.3088052272796631,30
31,2,1,0.1,75,MinMaxScaler,0.647415329768271,0.45327754532775455,0.3524945770065076,0.39658328248932273,0.5737638145007681,325,392,1491,597,0.29947876930236816,31
32,2,1,0.1,75,RobustScaler,0.647415329768271,0.45327754532775455,0.3524945770065076,0.39658328248932273,0.5737638145007681,325,392,1491,597,0.3350362777709961,32
33,2,1,0.1,100,StandardScaler,0.6413547237076649,0.44246575342465755,0.35032537960954446,0.39104116222760293,0.5684361950602391,323,407,1476,599,0.39203357696533203,33
34,2,1,0.1,100,MinMaxScaler,0.6413547237076649,0.44246575342465755,0.35032537960954446,0.39104116222760293,0.5684361950602391,323,407,1476,599,0.3537440299987793,34
35,2,1,0.1,100,RobustScaler,0.6413547237076649,0.44246575342465755,0.35032537960954446,0.39104116222760293,0.5684361950602391,323,407,1476,599,0.4111514091491699,35
36,2,3,0.001,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.17245697975158691,36
37,2,3,0.001,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.15828609466552734,37
38,2,3,0.001,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.21650123596191406,38
39,2,3,0.001,50,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.23787331581115723,39
40,2,3,0.001,50,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.24304819107055664,40
41,2,3,0.001,50,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.25792431831359863,41
42,2,3,0.001,75,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2917907238006592,42
43,2,3,0.001,75,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.28427791595458984,43
44,2,3,0.001,75,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.31817126274108887,44
45,2,3,0.001,100,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3491981029510498,45
46,2,3,0.001,100,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.34769392013549805,46
47,2,3,0.001,100,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.39275145530700684,47
48,2,3,0.01,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.16092395782470703,48
49,2,3,0.01,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.1682431697845459,49
50,2,3,0.01,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2021632194519043,50
51,2,3,0.01,50,StandardScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.23389959335327148,51
52,2,3,0.01,50,MinMaxScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.24596214294433594,52
53,2,3,0.01,50,RobustScaler,0.679144385026738,0.555,0.12039045553145336,0.19786096256684493,0.49866310160427807,111,89,1794,811,0.2657341957092285,53
54,2,3,0.01,75,StandardScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.3203589916229248,54
55,2,3,0.01,75,MinMaxScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.30892252922058105,55
56,2,3,0.01,75,RobustScaler,0.6802139037433155,0.5464684014869888,0.1594360086767896,0.24685138539042822,0.5219321421181605,147,122,1761,775,0.3405594825744629,56
57,2,3,0.01,100,StandardScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.6013422012329102,57
58,2,3,0.01,100,MinMaxScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.4034271240234375,58
59,2,3,0.01,100,RobustScaler,0.6994652406417112,0.5817805383022774,0.3047722342733189,0.4,0.5997621878715815,281,202,1681,641,0.45281147956848145,59
60,2,3,0.1,25,StandardScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.23758769035339355,60
61,2,3,0.1,25,MinMaxScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.1783897876739502,61
62,2,3,0.1,25,RobustScaler,0.6135472370766488,0.40097799511002447,0.3557483731019523,0.37701149425287356,0.5484540675398735,328,490,1393,594,0.21767020225524902,62
63,2,3,0.1,50,StandardScaler,0.6438502673796791,0.44747612551159616,0.3557483731019523,0.3963746223564955,0.5718914831125081,328,405,1478,594,0.271744966506958,63
64,2,3,0.1,50,MinMaxScaler,0.6438502673796791,0.44747612551159616,0.3557483731019523,0.3963746223564955,0.5718914831125081,328,405,1478,594,0.26539158821105957,64
65,2,3,0.1,50,RobustScaler,0.6438502673796791,0.44747612551159616,0.3557483731019523,0.3963746223564955,0.5718914831125081,328,405,1478,594,0.2784247398376465,65
66,2,3,0.1,75,StandardScaler,0.645632798573975,0.44886363636363635,0.34273318872017355,0.3886838868388684,0.5695929474354985,316,388,1495,606,0.47101783752441406,66
67,2,3,0.1,75,MinMaxScaler,0.645632798573975,0.44886363636363635,0.34273318872017355,0.3886838868388684,0.5695929474354985,316,388,1495,606,0.393543004989624,67
68,2,3,0.1,75,RobustScaler,0.645632798573975,0.44886363636363635,0.34273318872017355,0.3886838868388684,0.5695929474354985,316,388,1495,606,0.3631582260131836,68
69,2,3,0.1,100,StandardScaler,0.6452762923351159,0.44937586685159503,0.351409978308026,0.39440048691418134,0.5717906140141867,324,397,1486,598,0.6523587703704834,69
70,2,3,0.1,100,MinMaxScaler,0.6452762923351159,0.44937586685159503,0.351409978308026,0.39440048691418134,0.5717906140141867,324,397,1486,598,0.6264817714691162,70
71,2,3,0.1,100,RobustScaler,0.6452762923351159,0.44937586685159503,0.351409978308026,0.39440048691418134,0.5717906140141867,324,397,1486,598,0.4473562240600586,71
72,4,1,0.001,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.29149365425109863,72
73,4,1,0.001,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.25109100341796875,73
74,4,1,0.001,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.2847781181335449,74
75,4,1,0.001,50,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.5159192085266113,75
76,4,1,0.001,50,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.47701001167297363,76
77,4,1,0.001,50,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.43377017974853516,77
78,4,1,0.001,75,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.5415723323822021,78
79,4,1,0.001,75,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.6295082569122314,79
80,4,1,0.001,75,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.8109467029571533,80
81,4,1,0.001,100,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.7638604640960693,81
82,4,1,0.001,100,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.8066291809082031,82
83,4,1,0.001,100,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,1.3589198589324951,83
84,4,1,0.01,25,StandardScaler,0.6727272727272727,1.0,0.004338394793926247,0.008639308855291577,0.40632648619536577,4,0,1883,918,0.2618091106414795,84
85,4,1,0.01,25,MinMaxScaler,0.6727272727272727,1.0,0.004338394793926247,0.008639308855291577,0.40632648619536577,4,0,1883,918,0.26615095138549805,85
86,4,1,0.01,25,RobustScaler,0.6727272727272727,1.0,0.004338394793926247,0.008639308855291577,0.40632648619536577,4,0,1883,918,0.28049659729003906,86
87,4,1,0.01,50,StandardScaler,0.667379679144385,0.47555555555555556,0.11605206073752712,0.1865736704446382,0.48876073170450596,107,118,1765,815,0.3950955867767334,87
88,4,1,0.01,50,MinMaxScaler,0.667379679144385,0.47555555555555556,0.11605206073752712,0.1865736704446382,0.48876073170450596,107,118,1765,815,0.4359099864959717,88
89,4,1,0.01,50,RobustScaler,0.667379679144385,0.47555555555555556,0.11605206073752712,0.1865736704446382,0.48876073170450596,107,118,1765,815,0.47489261627197266,89
90,4,1,0.01,75,StandardScaler,0.6249554367201426,0.38181818181818183,0.227765726681128,0.2853260869565218,0.5155484953873958,210,340,1543,712,0.8693230152130127,90
91,4,1,0.01,75,MinMaxScaler,0.6249554367201426,0.38181818181818183,0.227765726681128,0.2853260869565218,0.5155484953873958,210,340,1543,712,0.6175565719604492,91
92,4,1,0.01,75,RobustScaler,0.6249554367201426,0.38181818181818183,0.227765726681128,0.2853260869565218,0.5155484953873958,210,340,1543,712,0.5916109085083008,92
93,4,1,0.01,100,StandardScaler,0.6352941176470588,0.42406015037593986,0.30585683297180044,0.3553875236294896,0.550549839368809,282,383,1500,640,0.7131989002227783,93
94,4,1,0.01,100,MinMaxScaler,0.6352941176470588,0.42406015037593986,0.30585683297180044,0.3553875236294896,0.550549839368809,282,383,1500,640,0.7979834079742432,94
95,4,1,0.01,100,RobustScaler,0.6352941176470588,0.42406015037593986,0.30585683297180044,0.3553875236294896,0.550549839368809,282,383,1500,640,0.6756627559661865,95
96,4,1,0.1,25,StandardScaler,0.6217468805704099,0.4167664670658683,0.3774403470715835,0.3961297666476949,0.5603799624829442,348,487,1396,574,0.2976970672607422,96
97,4,1,0.1,25,MinMaxScaler,0.6217468805704099,0.4167664670658683,0.3774403470715835,0.3961297666476949,0.5603799624829442,348,487,1396,574,0.2693054676055908,97
98,4,1,0.1,25,RobustScaler,0.6217468805704099,0.4167664670658683,0.3774403470715835,0.3961297666476949,0.5603799624829442,348,487,1396,574,0.27663159370422363,98
99,4,1,0.1,50,StandardScaler,0.6303030303030303,0.4274905422446406,0.3676789587852495,0.39533527696793,0.5645482546585479,339,454,1429,583,0.38088130950927734,99
100,4,1,0.1,50,MinMaxScaler,0.6303030303030303,0.4274905422446406,0.3676789587852495,0.39533527696793,0.5645482546585479,339,454,1429,583,0.35029053688049316,100
101,4,1,0.1,50,RobustScaler,0.6303030303030303,0.4274905422446406,0.3676789587852495,0.39533527696793,0.5645482546585479,339,454,1429,583,0.39521145820617676,101
102,4,1,0.1,75,StandardScaler,0.6385026737967915,0.4380053908355795,0.3524945770065076,0.39062499999999994,0.5668279586923467,325,417,1466,597,0.46204423904418945,102
103,4,1,0.1,75,MinMaxScaler,0.6385026737967915,0.4380053908355795,0.3524945770065076,0.39062499999999994,0.5668279586923467,325,417,1466,597,0.5515601634979248,103
104,4,1,0.1,75,RobustScaler,0.6385026737967915,0.4380053908355795,0.3524945770065076,0.39062499999999994,0.5668279586923467,325,417,1466,597,0.5228292942047119,104
105,4,1,0.1,100,StandardScaler,0.6520499108734403,0.4622905027932961,0.35900216919739697,0.40415140415140416,0.5792156819347152,331,385,1498,591,0.5946290493011475,105
106,4,1,0.1,100,MinMaxScaler,0.6520499108734403,0.4622905027932961,0.35900216919739697,0.40415140415140416,0.5792156819347152,331,385,1498,591,0.6542520523071289,106
107,4,1,0.1,100,RobustScaler,0.6520499108734403,0.4622905027932961,0.35900216919739697,0.40415140415140416,0.5792156819347152,331,385,1498,591,0.6180284023284912,107
108,4,3,0.001,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.377962589263916,108
109,4,3,0.001,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.23554682731628418,109
110,4,3,0.001,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.26395082473754883,110
111,4,3,0.001,50,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.38055944442749023,111
112,4,3,0.001,50,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.5108458995819092,112
113,4,3,0.001,50,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.40899109840393066,113
114,4,3,0.001,75,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.5057342052459717,114
115,4,3,0.001,75,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.49984216690063477,115
116,4,3,0.001,75,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.5412893295288086,116
117,4,3,0.001,100,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.6461126804351807,117
118,4,3,0.001,100,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.6428890228271484,118
119,4,3,0.001,100,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.6777503490447998,119
120,4,3,0.01,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.24816465377807617,120
121,4,3,0.01,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.21781659126281738,121
122,4,3,0.01,25,RobustScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.25700926780700684,122
123,4,3,0.01,50,StandardScaler,0.6627450980392157,0.44339622641509435,0.1019522776572668,0.1657848324514991,0.4772177066636405,94,118,1765,828,0.38274335861206055,123
124,4,3,0.01,50,MinMaxScaler,0.6627450980392157,0.44339622641509435,0.1019522776572668,0.1657848324514991,0.4772177066636405,94,118,1765,828,0.36757707595825195,124
125,4,3,0.01,50,RobustScaler,0.6627450980392157,0.44339622641509435,0.1019522776572668,0.1657848324514991,0.4772177066636405,94,118,1765,828,0.39658355712890625,125
126,4,3,0.01,75,StandardScaler,0.6221033868092691,0.3740875912408759,0.22234273318872017,0.2789115646258503,0.5114364586414275,205,343,1540,717,0.5051908493041992,126
127,4,3,0.01,75,MinMaxScaler,0.6221033868092691,0.3740875912408759,0.22234273318872017,0.2789115646258503,0.5114364586414275,205,343,1540,717,0.5046026706695557,127
128,4,3,0.01,75,RobustScaler,0.6221033868092691,0.3740875912408759,0.22234273318872017,0.2789115646258503,0.5114364586414275,205,343,1540,717,0.5383670330047607,128
129,4,3,0.01,100,StandardScaler,0.6363636363636364,0.42507645259938837,0.30151843817787416,0.3527918781725887,0.5499705548522835,278,376,1507,644,0.6385233402252197,129
130,4,3,0.01,100,MinMaxScaler,0.6363636363636364,0.42507645259938837,0.30151843817787416,0.3527918781725887,0.5499705548522835,278,376,1507,644,0.6301515102386475,130
131,4,3,0.01,100,RobustScaler,0.6363636363636364,0.42507645259938837,0.30151843817787416,0.3527918781725887,0.5499705548522835,278,376,1507,644,0.6753337383270264,131
132,4,3,0.1,25,StandardScaler,0.615686274509804,0.40993071593533487,0.38503253796095444,0.3970917225950783,0.5575202202718981,355,511,1372,567,0.2247333526611328,132
133,4,3,0.1,25,MinMaxScaler,0.615686274509804,0.40993071593533487,0.38503253796095444,0.3970917225950783,0.5575202202718981,355,511,1372,567,0.2251451015472412,133
134,4,3,0.1,25,RobustScaler,0.615686274509804,0.40993071593533487,0.38503253796095444,0.3970917225950783,0.5575202202718981,355,511,1372,567,0.26513218879699707,134
135,4,3,0.1,50,StandardScaler,0.6242424242424243,0.4185185185185185,0.3676789587852495,0.3914549653579677,0.5598326915495356,339,471,1412,583,0.3598213195800781,135
136,4,3,0.1,50,MinMaxScaler,0.6242424242424243,0.4185185185185185,0.3676789587852495,0.3914549653579677,0.5598326915495356,339,471,1412,583,0.3387887477874756,136
137,4,3,0.1,50,RobustScaler,0.6242424242424243,0.4185185185185185,0.3676789587852495,0.3914549653579677,0.5598326915495356,339,471,1412,583,0.3753516674041748,137
138,4,3,0.1,75,StandardScaler,0.6342245989304813,0.43066666666666664,0.35032537960954446,0.38636363636363635,0.5629126460132048,323,427,1456,599,0.4554593563079834,138
139,4,3,0.1,75,MinMaxScaler,0.6342245989304813,0.43066666666666664,0.35032537960954446,0.38636363636363635,0.5629126460132048,323,427,1456,599,0.45041632652282715,139
140,4,3,0.1,75,RobustScaler,0.6342245989304813,0.43066666666666664,0.35032537960954446,0.38636363636363635,0.5629126460132048,323,427,1456,599,0.4889497756958008,140
141,4,3,0.1,100,StandardScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.5568337440490723,141
142,4,3,0.1,100,MinMaxScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.5518627166748047,142
143,4,3,0.1,100,RobustScaler,0.6427807486631016,0.44579945799457993,0.35683297180043383,0.3963855421686746,0.5713573280463626,329,409,1474,593,0.5863752365112305,143
144,6,1,0.001,25,StandardScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3677492141723633,144
145,6,1,0.001,25,MinMaxScaler,0.671301247771836,0.0,0.0,0.0,0.40166382252559724,0,0,1883,922,0.3637583255767822,145
